folio,material_id,material,familia,unidad,proveedor_id,proveedor,origen,distancia_km,pad_id,pad,operadora,mes,fecha_orden,fecha_plan,fecha_real,lead_plan_dias,lead_real_dias,retraso_dias,cant_plan,cant_real,costo_material_usd,costo_flete_usd,costo_demora_usd,estado
ENV-00040,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-02,Bandurria Sur,YPF,2024-12,2024-12-12,2024-12-21,2024-12-20,9,8,-1,960.4,962.0,88504.0,93459.0,0,OTIF
ENV-00041,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2024-12,2024-12-23,2024-12-29,2024-12-29,6,6,0,9000,8930.6,821615.0,627310.0,0,OTIF
ENV-00042,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-09,Los Toldos,ExxonMobil,2024-12,2024-12-23,2025-01-01,2025-01-01,9,9,0,9000,8991.6,674370.0,1017048.0,0,OTIF
ENV-00043,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2024-12,2024-12-23,2024-12-30,2024-12-30,7,7,0,9000,8995.4,827577.0,556779.0,0,OTIF
ENV-00044,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2024-12,2024-12-23,2024-12-30,2024-12-30,7,7,0,9000,9015.6,676170.0,620917.0,0,OTIF
ENV-00045,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2024-12,2024-12-23,2024-12-29,2024-12-29,6,6,0,8478.8,8549.3,786536.0,524092.0,0,OTIF
ENV-00046,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-05,Rincon La Ceniza,Shell,2025-01,2025-01-03,2025-01-08,2025-01-08,5,5,0,9000,8950.4,823437.0,556069.0,0,OTIF
ENV-00047,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-06,Bajada del Palo,Vista,2025-01,2025-01-03,2025-01-06,2025-01-06,3,3,0,9000,9085.4,681405.0,245545.0,0,OTIF
ENV-00048,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-11,Aguada Federal,Wintershall,2025-01,2025-01-03,2025-01-12,2025-01-12,9,9,0,9000,8942.5,670688.0,867277.0,0,OTIF
ENV-00049,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-06,Bajada del Palo,Vista,2025-01,2025-01-03,2025-01-08,2025-01-07,5,4,-1,9000,8922.5,820870.0,637838.0,0,OTIF
ENV-00050,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-02,Bandurria Sur,YPF,2025-01,2025-01-03,2025-01-12,2025-01-12,9,9,0,9000,9039.9,677992.0,1104130.0,0,OTIF
ENV-00051,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-02,Bandurria Sur,YPF,2025-01,2025-01-03,2025-01-10,2025-01-10,7,7,0,1133.3,1128.1,84608.0,108639.0,0,OTIF
ENV-00052,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-08,Aguada Pichana,Total,2025-01,2025-01-14,2025-01-22,2025-01-22,8,8,0,9000,8930.0,821560.0,861808.0,0,OTIF
ENV-00053,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-09,Los Toldos,ExxonMobil,2025-01,2025-01-14,2025-01-21,2025-01-21,7,7,0,9000,7512.8,691178.0,765348.0,0,Incompleto
ENV-00054,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-05,Rincon La Ceniza,Shell,2025-01,2025-01-14,2025-01-17,2025-01-17,3,3,0,9000,8933.3,821864.0,227404.0,0,OTIF
ENV-00055,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-09,Los Toldos,ExxonMobil,2025-01,2025-01-14,2025-01-19,2025-01-19,5,5,0,9000,8992.8,827338.0,554870.0,0,OTIF
ENV-00056,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2025-01,2025-01-14,2025-01-21,2025-01-21,7,7,0,8436.8,8515.5,783426.0,537241.0,0,OTIF
ENV-00057,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-08,Aguada Pichana,Total,2025-01,2025-01-25,2025-02-02,2025-02-01,8,7,-1,9000,8982.1,826353.0,939689.0,0,OTIF
ENV-00058,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-12,Coiron Amargo,Pan American,2025-01,2025-01-25,2025-02-02,2025-02-02,8,8,0,9000,8930.5,821606.0,1031211.0,0,OTIF
ENV-00059,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-06,Bajada del Palo,Vista,2025-01,2025-01-25,2025-02-04,2025-02-04,10,10,0,9000,8928.5,821422.0,974091.0,0,OTIF
ENV-00060,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-01,2025-01-25,2025-01-30,2025-01-30,5,5,0,9000,9011.5,675862.0,622683.0,0,OTIF
ENV-00061,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-10,Cruz de Lorena,Shell,2025-01,2025-01-25,2025-01-29,2025-01-29,4,4,0,8171.2,8192.7,753728.0,220328.0,0,OTIF
ENV-00062,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-06,Bajada del Palo,Vista,2025-02,2025-02-05,2025-02-13,2025-02-12,8,7,-1,9000,8961.7,672128.0,858760.0,0,OTIF
ENV-00063,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-02,Bandurria Sur,YPF,2025-02,2025-02-05,2025-02-14,2025-02-14,9,9,0,9000,8917.4,820401.0,1118784.0,0,OTIF
ENV-00064,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-04,Fortin de Piedra,Tecpetrol,2025-02,2025-02-05,2025-02-14,2025-02-14,9,9,0,9000,7358.4,676973.0,742800.0,0,Incompleto
ENV-00065,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-12,Coiron Amargo,Pan American,2025-02,2025-02-05,2025-02-12,2025-02-11,7,6,-1,9000,9088.4,681630.0,620718.0,0,OTIF
ENV-00066,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-06,Bajada del Palo,Vista,2025-02,2025-02-05,2025-02-13,2025-02-13,8,8,0,9000,8919.4,820585.0,851987.0,0,OTIF
ENV-00067,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-06,Bajada del Palo,Vista,2025-02,2025-02-05,2025-02-12,2025-02-12,7,7,0,3949.2,3961.6,297120.0,292949.0,0,OTIF
ENV-00068,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-06,Bajada del Palo,Vista,2025-02,2025-02-15,2025-02-25,2025-02-25,10,10,0,9000,9028.1,677108.0,1076861.0,0,OTIF
ENV-00069,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-12,Coiron Amargo,Pan American,2025-02,2025-02-15,2025-02-21,2025-02-21,6,6,0,9000,8933.0,669975.0,633809.0,0,OTIF
ENV-00070,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-11,Aguada Federal,Wintershall,2025-02,2025-02-15,2025-02-25,2025-02-25,10,10,0,9000,7672.6,575445.0,970913.0,0,Incompleto
ENV-00071,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2025-02,2025-02-15,2025-02-20,2025-02-20,5,5,0,9000,9051.9,678892.0,616114.0,0,OTIF
ENV-00072,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-12,Coiron Amargo,Pan American,2025-02,2025-02-15,2025-02-24,2025-02-24,9,9,0,9000,8977.8,673335.0,772471.0,0,OTIF
ENV-00073,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-10,Cruz de Lorena,Shell,2025-02,2025-02-15,2025-02-19,2025-02-19,4,4,0,715.4,711.6,53370.0,17867.0,0,OTIF
ENV-00074,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-12,Coiron Amargo,Pan American,2025-02,2025-02-24,2025-03-01,2025-03-01,5,5,0,9000,8994.4,827485.0,655756.0,0,OTIF
ENV-00075,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-02,2025-02-24,2025-03-02,2025-03-02,6,6,0,9000,8985.4,826657.0,565698.0,0,OTIF
ENV-00076,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-02,2025-02-24,2025-03-02,2025-03-04,6,8,2,9000,9078.2,680865.0,645325.0,515100,Demorado
ENV-00077,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-02,Bandurria Sur,YPF,2025-02,2025-02-24,2025-03-03,2025-03-03,7,7,0,9000,8936.5,822158.0,818817.0,0,OTIF
ENV-00078,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-04,Fortin de Piedra,Tecpetrol,2025-02,2025-02-24,2025-03-05,2025-03-05,9,9,0,8197.7,8177.0,752284.0,918854.0,0,OTIF
ENV-00079,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-04,Fortin de Piedra,Tecpetrol,2025-03,2025-03-06,2025-03-12,2025-03-12,6,6,0,9000,9052.4,678930.0,566555.0,0,OTIF
ENV-00080,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2025-03,2025-03-06,2025-03-13,2025-03-13,7,7,0,9000,8913.4,668505.0,568023.0,0,OTIF
ENV-00081,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-12,Coiron Amargo,Pan American,2025-03,2025-03-06,2025-03-11,2025-03-11,5,5,0,9000,8952.9,823667.0,626494.0,0,OTIF
ENV-00082,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-02,Bandurria Sur,YPF,2025-03,2025-03-06,2025-03-14,2025-03-13,8,7,-1,9000,8953.5,671512.0,766931.0,0,OTIF
ENV-00083,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-10,Cruz de Lorena,Shell,2025-03,2025-03-06,2025-03-13,2025-03-13,7,7,0,9000,9004.2,828386.0,810920.0,0,OTIF
ENV-00084,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-09,Los Toldos,ExxonMobil,2025-03,2025-03-06,2025-03-15,2025-03-14,9,8,-1,3534.3,3525.3,264398.0,428218.0,0,OTIF
ENV-00085,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2025-03,2025-03-16,2025-03-21,2025-03-21,5,5,0,9000,9042.3,831892.0,591765.0,0,OTIF
ENV-00086,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-09,Los Toldos,ExxonMobil,2025-03,2025-03-16,2025-03-23,2025-03-23,7,7,0,9000,9035.2,831238.0,631391.0,0,OTIF
ENV-00087,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-02,Bandurria Sur,YPF,2025-03,2025-03-16,2025-03-18,2025-03-17,2,1,-1,9000,8917.5,820410.0,246481.0,0,OTIF
ENV-00088,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-09,Los Toldos,ExxonMobil,2025-03,2025-03-16,2025-03-24,2025-03-29,8,13,5,9000,9050.6,832655.0,907791.0,1283500,Demorado
ENV-00089,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2025-03,2025-03-16,2025-03-22,2025-03-22,6,6,0,9000,8979.6,826123.0,672884.0,0,OTIF
ENV-00090,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-08,Aguada Pichana,Total,2025-03,2025-03-16,2025-03-25,2025-03-24,9,8,-1,2977.6,2973.5,273562.0,305934.0,0,OTIF
ENV-00091,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-05,Rincon La Ceniza,Shell,2025-03,2025-03-25,2025-03-30,2025-03-30,5,5,0,9000,9018.5,829702.0,602995.0,0,OTIF
ENV-00092,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-06,Bajada del Palo,Vista,2025-03,2025-03-25,2025-03-27,2025-03-27,2,2,0,9000,8988.3,826924.0,234159.0,0,OTIF
ENV-00093,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-01,Loma Campana,YPF,2025-03,2025-03-25,2025-03-29,2025-03-29,4,4,0,9000,9032.3,677422.0,250694.0,0,OTIF
ENV-00094,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-03,2025-03-25,2025-03-30,2025-03-30,5,5,0,9000,8975.2,825718.0,669395.0,0,OTIF
ENV-00095,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-03,2025-03-25,2025-03-31,2025-03-31,6,6,0,9000,9005.3,828488.0,598159.0,0,OTIF
ENV-00096,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-04,Fortin de Piedra,Tecpetrol,2025-03,2025-03-25,2025-04-01,2025-04-01,7,7,0,742.8,743.7,55778.0,65571.0,0,OTIF
ENV-00097,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2025-04,2025-04-03,2025-04-10,2025-04-10,7,7,0,9000,8932.1,669908.0,653587.0,0,OTIF
ENV-00098,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-12,Coiron Amargo,Pan American,2025-04,2025-04-03,2025-04-10,2025-04-10,7,7,0,9000,9030.2,830778.0,877064.0,0,OTIF
ENV-00099,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-05,Rincon La Ceniza,Shell,2025-04,2025-04-03,2025-04-10,2025-04-10,7,7,0,9000,9052.9,832867.0,842585.0,0,OTIF
ENV-00100,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-04,Fortin de Piedra,Tecpetrol,2025-04,2025-04-03,2025-04-08,2025-04-07,5,4,-1,9000,8976.4,673230.0,650101.0,0,OTIF
ENV-00101,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-10,Cruz de Lorena,Shell,2025-04,2025-04-03,2025-04-10,2025-04-10,7,7,0,8714.5,8719.0,653925.0,857508.0,0,OTIF
